Country,Paper,Website
Afghanistan,Reuters,https://www.aljazeera.com/where/afghanistan
Albania,Aljazeera,https://www.aljazeera.com/where/albania
Algeria,Algeria Press Service,https://www.aljazeera.com/where/algeria
Andorra,Aljazeera,https://www.euronews.com/tag/andorra
Angola,Aljazeera,https://www.aljazeera.com/where/angola
Antigua and Barbuda,Aljazeera,https://antiguaobserver.com/
Argentina,Beunos Aires Times,https://www.reuters.com/places/argentina
Armenia,Aljazeera,https://www.aljazeera.com/where/armenia
Australia,ABC,https://www.reuters.com/places/australia
Austria,Euronews,https://www.euronews.com/tag/austria
Azerbaijan,Aljazeera,https://www.aljazeera.com/where/azerbaijan
Bahrain,Aljazeera,https://www.aljazeera.com/where/bahrain
Bangladesh,Aljazeera,https://www.aljazeera.com/where/bangladesh
Barbados,LoopNews,http://www.loopnewsbarbados.com/
Belarus,Euronews,https://www.euronews.com/tag/belarus
Belgium,Euronews,https://www.euronews.com/tag/belgium
Belize,Aljazeera,https://www.aljazeera.com/where/belize
Benin,Aljazeera,https://www.aljazeera.com/where/benin
Bolivia,Reuters,https://www.reuters.com/news/archive/bolivia
Bosnia and Herzegovina,Aljazeera,https://www.aljazeera.com/where/bosnia-and-herzegovina
Botswana,Aljazeera,https://www.aljazeera.com/where/botswana
Brazil,O Estadão ,https://www.reuters.com/places/brazil
Brunei,Aljazeera,https://www.aljazeera.com/where/brunei
Bulgaria,Euronews,https://www.euronews.com/tag/bulgaria
Burkina Faso,Aljazeera,https://www.aljazeera.com/where/burkina-faso
Burma,Aljazeera,https://www.aljazeera.com/where/myanmar/
Burundi,Aljazeera,https://www.aljazeera.com/where/burundi
Cabo Verde,Aljazeera,https://www.euronews.com/news/africa/capeverde
Cambodia,Aljazeera,https://www.aljazeera.com/where/cambodia
Cameroon,Aljazeera,https://www.aljazeera.com/where/cameroon
Canada,Aljazeera,https://www.reuters.com/places/canada
Central African Republic,Aljazeera,https://www.aljazeera.com/where/central-african-republic
Chad,Aljazeera,https://www.aljazeera.com/where/chad
Chile,Euronews,https://www.euronews.com/tag/chile
China,BBC,https://www.aljazeera.com/where/china
Colombia,30 Minutes,https://www.aljazeera.com/where/colombia
Comoros,Aljazeera,https://www.aljazeera.com/where/comoros
Congo,Aljazeera,https://www.aljazeera.com/where/democratic-republic-of-the-congo/
Costa Rica,Aljazeera,https://www.aljazeera.com/where/costa-rica
Côte d'Ivoire,Aljazeera,https://www.aljazeera.com/where/ivory-coast/
Croatia,Euronews,https://www.euronews.com/tag/croatia
Cuba,Aljazeera,https://www.aljazeera.com/where/cuba
Cyprus,Euronews,https://www.euronews.com/tag/cyprus
Czechia,Euronews,https://www.euronews.com/tag/czechia
Denmark,Euronews,https://www.euronews.com/tag/denmark
Djibouti,Aljazeera,https://www.aljazeera.com/where/djibouti
Dominica,Aljazeera,https://www.aljazeera.com/where/dominica
Dominican Republic,Aljazeera,https://www.aljazeera.com/where/dominican-republic
Ecuador,Aljazeera,https://www.aljazeera.com/where/ecuador
Egypt,Al-Ahram ,https://www.aljazeera.com/where/egypt/
El Salvador,Aljazeera,https://www.aljazeera.com/where/el-salvador
Equatorial Guinea,Aljazeera,https://www.aljazeera.com/where/equatorial-guinea
Eritrea,Aljazeera,https://www.aljazeera.com/where/eritrea
Estonia,Euronews,https://www.euronews.com/tag/estonia
Eswatini,Aljazeera,https://www.aljazeera.com/where/eswatini
Ethiopia,The Africa Report,https://www.aljazeera.com/where/south-africa/
Fiji,Aljazeera,https://www.aljazeera.com/where/fiji
Finland,Helsinkitimes,https://www.helsinkitimes.fi/
France, Libération ,https://www.euronews.com/tag/france
Gabon,Aljazeera,https://www.aljazeera.com/where/gabon
Gambia,The Point,https://thepoint.gm/
Georgia,Aljazeera,https://www.aljazeera.com/where/georgia
Germany,DW,https://www.euronews.com/tag/germany
Ghana,The Africa Report,https://www.theafricareport.com/countries/ghana/
Greece, Kathimerini ,https://www.keeptalkinggreece.com/
Greenland,Euronews,https://www.euronews.com/news/europe/greenland
Grenada,Aljazeera,https://www.aljazeera.com/where/grenada
Guatemala,Aljazeera,https://www.aljazeera.com/where/guatemala
Guinea,Aljazeera,https://www.aljazeera.com/where/guinea
Guinea-Bissau,Aljazeera,https://www.aljazeera.com/where/guinea-bissau
Guyana,Stabroeknews,https://www.stabroeknews.com/news/guyana/
Haiti,Aljazeera,https://www.aljazeera.com/where/haiti
Honduras,Aljazeera,https://www.aljazeera.com/where/honduras
Hungary,Euronews,https://www.euronews.com/tag/hungary
Iceland,Euronews,https://www.euronews.com/tag/iceland
India,BBC,https://www.euronews.com/tag/india
Indonesia,BBC,https://www.reuters.com/places/indonesia
Iran,Reuters,https://www.reuters.com/places/iran
Iraq,Reuters,https://www.reuters.com/places/iraq
Ireland,Euronews,https://www.euronews.com/tag/ireland
Israel, Haaretz (in English),https://www.haaretz.com/
Italy,Reuters,https://www.reuters.com/places/italy
Jamaica, The Gleaner ,http://jamaica-gleaner.com/
Japan, Mainichi Shimbun (Japanese) Mainichi Shimbun (in English) ,https://mainichi.jp/english/
Jordan,Aljazeera,https://www.aljazeera.com/where/jordan
Kazakhstan,Astana Times,https://www.euronews.com/news/asia/kazakhstan
Kenya,Kenya News,https://www.aljazeera.com/where/kenya/
Kiribati,Aljazeera,https://www.aljazeera.com/where/kiribati
Kuwait,Aljazeera,https://www.aljazeera.com/where/kuwait
Kyrgyzstan,Aljazeera,https://www.aljazeera.com/where/kyrgyzstan
Laos,Aljazeera,https://www.aljazeera.com/where/laos
Latvia,Euronews,https://www.euronews.com/tag/latvia
Lebanon,Aljazeera,https://www.aljazeera.com/where/lebanon
Lesotho,Aljazeera,https://www.aljazeera.com/where/lesotho
Liberia,Aljazeera,https://www.aljazeera.com/where/liberia
Libya,Libya Observer,https://www.aljazeera.com/where/Libya
Liechtenstein,Euronews,https://www.euronews.com/tag/liechtenstein
Lithuania,Euronews,https://www.euronews.com/tag/lithuania
Luxembourg,Euronews,https://www.euronews.com/tag/luxembourg
Madagascar,Aljazeera,https://www.aljazeera.com/where/madagascar
Malawi,Aljazeera,https://www.aljazeera.com/where/malawi
Malaysia,BBC,https://www.thestar.com.my/news
Maldives,Aljazeera,https://www.aljazeera.com/where/maldives
Mali,Aljazeera,https://www.aljazeera.com/where/mali
Malta,Euronews,https://www.euronews.com/tag/malta
Marshall Islands,Aljazeera,https://www.aljazeera.com/where/marshall-islands
Mauritania,Aljazeera,https://www.aljazeera.com/where/mauritania
Mauritius,Aljazeera,https://www.aljazeera.com/where/mauritius
Mexico,Debate,https://www.reuters.com/places/mexico
Micronesia,Aljazeera,https://www.aljazeera.com/where/micronesia
Moldova,Aljazeera,https://www.aljazeera.com/where/moldova
Monaco,Monaco Life,https://monacolife.net/
Mongolia,Euronews,https://www.euronews.com/tag/mongolia
Montenegro,Aljazeera,https://www.aljazeera.com/where/montenegro
Morocco,Morocco World News,https://www.moroccoworldnews.com/
Mozambique,Aljazeera,https://www.aljazeera.com/where/mozambique
Namibia,Aljazeera,https://www.euronews.com/news/africa/namibia
Nauru,Aljazeera,https://www.aljazeera.com/where/nauru
Nepal,Aljazeera,https://www.aljazeera.com/where/nepal
Netherlands, NRC Handelsblad (NCR) ,https://www.euronews.com/tag/netherlands
New Zealand, The New Zealand Herald ,https://www.nzherald.co.nz/
Nicaragua,Aljazeera,https://www.aljazeera.com/where/nicaragua
Niger,Aljazeera,https://www.aljazeera.com/where/niger
Nigeria,Aljazeera,https://www.aljazeera.com/where/nigeria
North Korea,Daily NK,https://www.dailynk.com/english/
Norway, Aftenposten ,https://www.newsinenglish.no/
Oman,Euronews,https://www.euronews.com/tag/oman
Pakistan,Reuters,https://www.reuters.com/places/pakistan
Palau,Aljazeera,https://www.aljazeera.com/where/palau
Panama,Aljazeera,https://www.aljazeera.com/where/panama
Papua New Guinea,Independent,https://www.aljazeera.com/where/papua-new-guinea/
Paraguay,Aljazeera,https://www.aljazeera.com/where/paraguay
Peru, El Comercio ,https://www.aljazeera.com/where/peru
Philippines,Philippines News,https://www.aljazeera.com/where/philippines
Poland,Euronews,https://www.euronews.com/tag/poland
Portugal, Diário de Notícias ,https://www.euronews.com/news/europe/portugal
Qatar,Aljazeera,https://www.aljazeera.com/where/qatar
Romania,Euronews,https://www.euronews.com/tag/romania
Russia,The Moscow Times,https://www.themoscowtimes.com/
Rwanda,Aljazeera,https://www.aljazeera.com/where/rwanda
Samoa,Aljazeera,https://www.aljazeera.com/where/samoa
Sao Tome and Principe,Aljazeera,https://www.aljazeera.com/where/sao-tome-and-principe/
Saudi Arabia,Arab News,https://www.arabnews.com/
Senegal,Aljazeera,https://www.aljazeera.com/where/senegal
Serbia,Aljazeera,https://www.aljazeera.com/where/serbia
Seychelles,Aljazeera,https://www.aljazeera.com/where/seychelles
Sierra Leone,Aljazeera,https://www.aljazeera.com/where/sierra-leone
Singapore,Aljazeera,https://www.aljazeera.com/where/singapore
Slovakia,Euronews,https://www.euronews.com/tag/slovakia
Slovenia,Euronews,https://www.euronews.com/tag/slovenia
Somalia,Aljazeera,https://www.aljazeera.com/where/somalia
South Africa,Aljazeera,https://www.aljazeera.com/where/south-africa/
South Sudan,Aljazeera,https://www.aljazeera.com/where/south-sudan
Spain, El País ,https://www.euronews.com/tag/spain
Sri Lanka,Aljazeera,https://www.aljazeera.com/where/sri-lanka
Sudan,Aljazeera,https://www.aljazeera.com/where/sudan
Suriname,Aljazeera,https://www.aljazeera.com/where/suriname
Sweden, Dagens Nyheter ,https://www.euronews.com/tag/sweden
Switzerland, Neue Zürcher Zeitung ,https://www.euronews.com/tag/switzerland
Syria,Reuters,https://www.reuters.com/places/syria
Tajikistan,Aljazeera,https://www.aljazeera.com/where/tajikistan
Tanzania,Aljazeera,https://www.aljazeera.com/where/tanzania
Thailand,Reuters,https://www.reuters.com/places/thailand
Timor-Leste,Aljazeera,https://www.aljazeera.com/where/east-timor/
Togo,Aljazeera,https://www.aljazeera.com/where/togo
Trinidad and Tobago,Aljazeera,https://www.aljazeera.com/where/trinidad-and-tobago
Tunisia,Aljazeera,https://www.aljazeera.com/where/tunisia
Turkey, Hürriyet ,https://www.reuters.com/news/archive/turkey
Turkmenistan,Euronews,https://www.euronews.com/tag/turkmenistan
Tuvalu,Aljazeera,https://www.aljazeera.com/where/tuvalu
Uganda,Aljazeera,https://www.aljazeera.com/where/uganda
Ukraine,Euronews,https://www.euronews.com/tag/ukraine
United Kingdom,BBC,https://bbc.co.uk
United States, The New York Times ,https://www.reuters.com/news/archive/domesticNews
Uruguay,Aljazeera,https://www.aljazeera.com/where/uruguay
Uzbekistan,Aljazeera,https://www.aljazeera.com/where/uzbekistan
Vanuatu,Aljazeera,https://www.aljazeera.com/where/vanuatu
Venezuela,Reuters,https://www.reuters.com/places/venezuela
Vietnam,Reuters,https://www.reuters.com/places/vietnam
Yemen,Reuters,https://www.reuters.com/places/yemen
Zambia,Aljazeera,https://www.aljazeera.com/where/zambia
Zimbabwe,Aljazeera,https://www.aljazeera.com/where/zimbabwe
Myanmar,Aljazeera,https://www.aljazeera.com/where/myanmar
South Korea,Aljazeera,https://www.aljazeera.com/where/south-korea
Laos,Aljazeera,https://www.aljazeera.com/where/laos
