,Country,Paper,Website,Top,Articles
0,Afghanistan,Reuters,https://www.aljazeera.com/where/afghanistan,https://www.aljazeera.com/opinions/2021/4/5/the-un-should-stop-playing-politics-with-childrens-lives,"The UN should stop playing politics with childrens lives.  All governments violating childrens rights in conflict zones must be put on the list of shame, with no exceptions. Over the past 20 years, the UN Security Council has put in place a framework to protect children in conflict zones. The secretarygeneral is required to attach a list of those responsible to his report. I have seen for myself the power of the list. The TMVP was added to the list of shame in 2006. And for many years, it was. In recent years, however, decisions about listing have become increasingly politicised, undermining the lists potential to protect children. Although SecretaryGeneral Guterres returned the Saudi coalition to his list in 2017, he removed it again in 2020, despite the UNs own findings that the coalition was responsible for at least 222 child casualties the previous year. Guterres has also removed the Myanmar armed forces, the Tatmadaw, from the list for recruiting and using children, despite hundreds of documented violations in 2019 and 2020. There is a clear mismatch between information about violations documented by the UN itself and the groups and government forces on the list."
1,Albania,Aljazeera,https://www.aljazeera.com/where/albania,https://www.aljazeera.com/features/2020/5/26/holding-onto-hoxha-guarding-the-last-statue-of-communist-albania," Holding onto Hoxha Guarding the last statue of communist Albania. In the basement of an old museum in a village in Albania, a 78yearold woman protects the last remnant of a dictator. Labinot and Tirana, Albania Sabire Plaku is suspicious of every stranger who sets foot in her remote village of Labinot in central Albania. For the last three decades, she has served as the guardian of the twostorey abandoned structure in the centre of Labinot, and the threemetretall 10foottall bronze statue that lies hidden in its basement a statue of Albanias first communist chief of state, Enver Hoxha. Dozens of depictions of him stood across the country during that time, but now, the one Sabire so cautiously guards is the last undamaged statue that remains. In 1943, when Albania was occupied by Italian fascists, communist partisans used mountainous Labinot as one of their war bases and, in March of that year, held the first national Communist Party conference there. There, he was chosen as the new leader of Albanias communists, which opened the way for their rein over Albania during the four decades that followed. Both historical events were held in the house Sabire now devoutly guards, a house that after the war turned into a museum to document the villages past. In 1968 during the commemoration of the 25th anniversary of the uprising, the statue of the young Hoxha in military attire was erected in front of the museum. In 1991, when communist rule collapsed in Albania, the museum closed its doors and Hoxhas statue was brought down."
2,Algeria,Algeria Press Service,https://www.aljazeera.com/where/algeria,https://www.aljazeera.com/news/2021/4/4/algeria-police-probe-teen-protesters-claim-of-sex-abuse," Algeria police probe teen protesters claim of sex abuse. The 15yearold was arrested in Algiers during a protest as part of the prodemocracy Hirak movement. Algerian police said on Sunday they had launched an investigation after videos on social media claiming officers sexually abused a teenage boy arrested during antigovernment protests sparked fury. The 15yearold was arrested on Saturday in Algiers, the capital of the North African country, where a longrunning prodemocracy protest movement known as the Hirak holds regular demonstrations demanding political change. The protests continued weekly until the global coronavirus pandemic reached Algeria a year ago. Warrants come as Algerias antigovernment Hirak protest movement are boosting weekly rallies ahead of June elections."
3,Andorra,Aljazeera,https://www.euronews.com/tag/andorra,https://www.euronews.com//2020/04/21/orderly-andorra-has-an-unusual-system-for-easing-lockdown-restrictions,    Orderly Andorra has an unusual system for easing lockdown restrictions.  Orderly Andorra has an unusual system for easing lockdown restrictions. Andorra . The easing of the lockdown began last Thursday and was for people to leave their homes for an hour to exercise. Andorrans can shop or stroll between 9 am and 11 am or between 2 pm and 7 pm. The time between 11 am and 2 pm is reserved for vulnerable and elderly populations to get out of the house. Learn more about Learn more about
4,Angola,Aljazeera,https://www.aljazeera.com/where/angola,https://www.aljazeera.com/economy/2020/11/19/africa-faces-debt-crisis-needs-more-help-than-what-g20-offers," Africa needs more than G20 offers to address looming debt crisis. African countries face another debt crisis and will need more longterm help than the latest G20 debt plan offers them to ward off trouble and keep muchneeded investments coming in, according to policymakers, analysts and investors. Approximately 40 percent of subSaharan African countries were in or at risk of debt distress even before this year, while Zambia became the continents first pandemicera default last Friday. The United States, China and other G20 countries have offered theworlds poorest countries many of which are inAfrica relief until at least mid2021 and sketched out rules for rescheduling governmentdebtto help fend off the risk of default in the wake of the coronaviruscrisis. I worry about 2021. I worry about a deal in which many countries who will once again have to finance themselves in a slow or even recessionary economic environment where a vaccine is not yet globally available. For many countries, that is one year too many to finance themselves. Some countries will need help with theirdebtstock, not just with payments. African countries make up half of the 73 countries eligible for the G20DebtService Suspension Initiative DSSI. Much has changed since the HIPC initiative when money was mainly owed to wealthy countries and multilateral institutions."
5,Antigua and Barbuda,Aljazeera,https://antiguaobserver.com/,https://antiguaobserver.com/world-health-day-a-call-for-togetherness/," World Health Day A call for togetherness. Apr 7, 2021 The Big Stories 0 comments By Kadeem Joseph emailprotected Today, Antigua and Barbuda joins the rest of the globe in celebrating World Health Day, under the theme Together for a fairer and healthier world. Perhaps, based on how we have fared thus far during this global health and economic crisis, no island is an island either. Our officials continue to hope for a return to tourism as First World countries roll out major vaccine campaigns, many of whom have ordered much more than they need according to the Pan American Health Organization PAHO and other health agencies. Further, we must also reaffirm our commitment to become a healthier people. It is for this reason that health must become part and parcel of Antigua and Barbuda and the rest of the regions developmental goals. Countries, as has been suggested time and time again, must also be more progressive with health education and health promotions."
6,Argentina,Beunos Aires Times,https://www.reuters.com/places/argentina,https://www.reuters.com//article/us-health-coronavirus-argentina/economy-in-focus-argentinas-pandemic-strategy-shifts-for-second-wave-idUSKBN2BU1HS," Economy in focus, Argentina's pandemic strategy shifts for second wave. Argentinas economy contracted around 10 last year, the third straight year of recession, and Economy Minister Martin Guzman has said it could not withstand another total shutdown. Poverty levels rose to 42 in the second half of last year. WARNING LIGHTS Argentine infectious diseases expert Martin Hojman said the southern hemisphere winter and reopening of activities would keep driving the second wave. This is happening in various jurisdictions and various departments, she said. Jorge Giacobbe, a Buenos Airesbased political analyst, said the government would not want to risk upsetting voters so close to Octobers legislative elections. People will not allow it after having suffered such a strict quarantine in 2020, he said."
7,Armenia,Aljazeera,https://www.aljazeera.com/where/armenia,https://www.aljazeera.com/news/2021/3/28/armenia-premier-confirms-he-will-step-down-to-allow-election," Armenia PM confirms he will step down to allow early election. Prime Minister Nikol Pashinyan, who has faced months of protests, to step down in April to allow early parliamentary election. Armenias embattled prime minister has confirmed that he will step down from the post in April in order to allow an early parliamentary election to take place. Nikol Pashinyan has faced months of protests calling for his removal in the wake of Armenias defeat in last years war with Azerbaijan. Pashinyan signed a peace deal in November that ceded parts of NagornoKarabakh and large swaths of adjacent Armeniancontrolled territory. Pashinyan has retained significant public backing despite the defeat in NagornoKarabakh, with thousands rallying in his support to counter the oppositionled pressure for his resignation. Pashinyan has been under pressure to quit since November, when he signed a Russiabrokered deal to end the Karabakh war."
8,Australia,ABC,https://www.reuters.com/places/australia,https://www.reuters.com//article/us-health-coronavirus-australia-vaccines/australia-calls-for-release-of-3-1-million-vaccine-doses-if-eu-not-blocking-exports-idUSKBN2BT335,"Australia calls for release of 3.  The European Union EU on Tuesday denied blocking vaccine shipments to Australia, which has fallen dramatically behind in its scheduled vaccination programme. Morrison said if the EU was now indicating its willingness to release shipments, he would again ask for the 3.1 million doses to be released. The 3.1 million doses were scheduled to arrive in Australia by the end of March. The dispute between Australia and the EU emphasises the challenge facing European nations which are struggling to vaccinate their own populations and the impact of new EU vaccine export controls on countries that had preordered doses. Last month the EU, at Italys request, blocked a shipment of 250,000 doses of the AstraZeneca PLC vaccine to Australia, citing vaccine shortages in Europe. It has also imported doses of Pfizer Incs vaccine for frontline COVID workers."
9,Austria,Euronews,https://www.euronews.com/tag/austria,https://www.euronews.com//2021/03/30/austria-in-talks-to-purchase-sputnik-v-vaccine-from-russia-says-chancellor-kurz,"    Austria in talks to purchase Sputnik V vaccine from Russia, says Chancellor Kurz.  Austria in talks to purchase Sputnik V vaccine from Russia, says Chancellor Kurz. Austria . Austria has announced that it is in talks with Russia to buy one million doses of the Sputnik V coronavirus vaccine. 'There should be no geopolitical borders,' Kurz said on Tuesday, 'the only thing that should matter is whether the vaccine is effective and safe.' In neighbouring Slovakia, the decision to purchase Russia's Sputnik V vaccine without approval from the coalition on Tuesday led to the collapse of Prime Minister Igor Matovic's government."
